concrete_sku,name,quantity,is_never_out_of_stock,is_bundle
426377,Warehouse2,20,1,0
426378,Warehouse2,20,1,0
426581,Warehouse2,20,1,0
426582,Warehouse2,20,1,0
426591,Warehouse2,20,1,0
426615,Warehouse2,20,1,0
107253,Warehouse2,20,1,0
107252,Warehouse2,20,1,0
673327,Warehouse2,20,1,0
500344,Warehouse2,20,1,0
506719,Warehouse2,20,1,0
507871,Warehouse2,20,1,0
509070,Warehouse2,20,1,0
501000,Warehouse2,20,1,0
501039,Warehouse2,20,1,0
102809,Warehouse2,20,1,0
107306,Warehouse2,20,1,0
107254,Warehouse2,20,1,0
107255,Warehouse2,20,1,0
102124,Warehouse2,20,1,0
102126,Warehouse2,20,1,0
102841,Warehouse2,20,1,0
100288,Warehouse2,20,1,0
427913,Warehouse2,20,1,0
427914,Warehouse2,20,1,0
422528,Warehouse2,20,1,0
103235,Warehouse2,20,1,0
101441,Warehouse2,20,1,0
102169,Warehouse2,20,1,0
103510,Warehouse2,20,1,0
102177,Warehouse2,20,1,0
104524,Warehouse2,20,1,0
101515,Warehouse2,20,1,0
212427,Warehouse2,20,1,0
517598,Warehouse2,20,1,0
102938,Warehouse2,20,1,0
102939,Warehouse2,20,1,0
102940,Warehouse2,20,1,0
102917,Warehouse2,20,1,0
517630,Warehouse2,20,1,0
102922,Warehouse2,20,1,0
519762,Warehouse2,20,1,0
102923,Warehouse2,20,1,0
655941,Warehouse2,20,1,0
413852,Warehouse2,20,1,0
413854,Warehouse2,20,1,0
400074,Warehouse2,20,1,0
400072,Warehouse2,20,1,0
403006,Warehouse2,20,1,0
403125,Warehouse2,20,1,0
401627,Warehouse2,20,1,0
413849,Warehouse2,20,1,0
426587,Warehouse2,20,1,0
657712,Warehouse2,20,1,0
657713,Warehouse2,20,1,0
657714,Warehouse2,20,1,0
657715,Warehouse2,20,1,0
657716,Warehouse2,20,1,0
107313,Warehouse2,20,1,0
101759,Warehouse2,20,1,0
512094,Warehouse2,20,1,0
512081,Warehouse2,20,1,0
573872,Warehouse2,20,1,0
573906,Warehouse2,20,1,0
573939,Warehouse2,20,1,0
573884,Warehouse2,20,1,0
575193,Warehouse2,20,1,0
575056,Warehouse2,20,1,0
575057,Warehouse2,20,1,0
575186,Warehouse2,20,1,0
100666,Warehouse2,20,1,0
573330,Warehouse2,20,1,0
103740,Warehouse2,20,1,0
408034,Warehouse2,20,1,0
421426,Warehouse2,20,1,0
421428,Warehouse2,20,1,0
421432,Warehouse2,20,1,0
421433,Warehouse2,20,1,0
421435,Warehouse2,20,1,0
421538,Warehouse2,20,1,0
421539,Warehouse2,20,1,0
422743,Warehouse2,20,1,0
424496,Warehouse2,20,1,0
424503,Warehouse2,20,1,0
425079,Warehouse2,20,1,0
426588,Warehouse2,20,1,0
426590,Warehouse2,20,1,0
419897,Warehouse2,20,1,0
501517,Warehouse2,20,1,0
574995,Warehouse2,20,1,0
107287,Warehouse2,20,1,0
573882,Warehouse2,20,1,0
410090,Warehouse2,20,1,0
419781,Warehouse2,20,1,0
419782,Warehouse2,20,1,0
212444,Warehouse2,20,1,0
100430,Warehouse2,20,1,0
100429,Warehouse2,20,1,0
101102,Warehouse2,20,1,0
420562,Warehouse2,20,1,0
420565,Warehouse2,20,1,0
420692,Warehouse2,20,1,0
420694,Warehouse2,20,1,0
420695,Warehouse2,20,1,0
420707,Warehouse2,20,1,0
420708,Warehouse2,20,1,0
420709,Warehouse2,20,1,0
420836,Warehouse2,20,1,0
420845,Warehouse2,20,1,0
421245,Warehouse2,20,1,0
421246,Warehouse2,20,1,0
421247,Warehouse2,20,1,0
212837,Warehouse2,20,1,0
400855,Warehouse2,20,1,0
490001,Warehouse2,20,0,0
490002,Warehouse2,20,1,0
103838,Warehouse2,20,1,0
103836,Warehouse2,20,1,0
213216,Warehouse2,20,1,0
108278,Warehouse2,20,1,0
108298,Warehouse2,20,1,0
107938,Warehouse2,0,1,0
464012,Warehouse2,20,1,0
464014,Warehouse2,20,1,0
464013,Warehouse2,20,1,0
404108,Warehouse2,20,1,0
107063,Warehouse2,20,1,0
501040,Warehouse2,20,1,0
501022,Warehouse2,20,1,0
502173,Warehouse2,20,1,0
502178,Warehouse2,20,1,0
500487,Warehouse2,20,1,0
508378,Warehouse2,20,1,0
507920,Warehouse2,20,1,0
508330,Warehouse2,20,1,0
508328,Warehouse2,20,1,0
500380,Warehouse2,20,1,0
103117,Warehouse2,20,1,0
103118,Warehouse2,20,1,0
107305,Warehouse2,20,1,0
107310,Warehouse2,20,1,0
107311,Warehouse2,20,1,0
107273,Warehouse2,20,1,0
107315,Warehouse2,20,1,0
101171,Warehouse2,20,1,0
102121,Warehouse2,20,1,0
102128,Warehouse2,20,1,0
102130,Warehouse2,20,1,0
100414,Warehouse2,20,1,0
104151,Warehouse2,20,1,0
104440,Warehouse2,20,1,0
104445,Warehouse2,20,1,0
101007,Warehouse2,20,1,0
100999,Warehouse2,20,1,0
102180,Warehouse2,20,1,0
102181,Warehouse2,20,1,0
102182,Warehouse2,20,1,0
102183,Warehouse2,20,1,0
102708,Warehouse2,20,1,0
102712,Warehouse2,20,1,0
102976,Warehouse2,20,1,0
103388,Warehouse2,20,1,0
102972,Warehouse2,20,1,0
101940,Warehouse2,20,1,0
100949,Warehouse2,20,1,0
104190,Warehouse2,20,1,0
104192,Warehouse2,20,1,0
104523,Warehouse2,20,1,0
100588,Warehouse2,20,1,0
102988,Warehouse2,20,1,0
107403,Warehouse2,20,1,0
107396,Warehouse2,20,1,0
100907,Warehouse2,20,1,0
101172,Warehouse2,20,1,0
103296,Warehouse2,20,1,0
102935,Warehouse2,20,1,0
102936,Warehouse2,20,1,0
100223,Warehouse2,20,1,0
102918,Warehouse2,20,1,0
102919,Warehouse2,20,1,0
102920,Warehouse2,20,1,0
100266,Warehouse2,20,1,0
102924,Warehouse2,20,1,0
102925,Warehouse2,20,1,0
102775,Warehouse2,20,1,0
102779,Warehouse2,20,1,0
101226,Warehouse2,20,1,0
100107,Warehouse2,20,1,0
101828,Warehouse2,20,1,0
107061,Warehouse2,20,1,0
103905,Warehouse2,20,1,0
103907,Warehouse2,20,1,0
103889,Warehouse2,20,1,0
103890,Warehouse2,20,1,0
400065,Warehouse2,20,1,0
401629,Warehouse2,20,1,0
400434,Warehouse2,20,1,0
401768,Warehouse2,20,1,0
401781,Warehouse2,20,1,0
508321,Warehouse2,20,1,0
108287,Warehouse2,20,1,0
108302,Warehouse2,20,1,0
213103,Warehouse2,20,1,0
464003,Warehouse2,20,1,0
464005,Warehouse2,20,1,0
464002,Warehouse2,20,1,0
464000,Warehouse2,20,1,0
464001,Warehouse2,20,1,0
420550,Warehouse2,20,1,0
108263,Warehouse2,20,1,0
544183,Warehouse2,20,1,0
500942,Warehouse2,20,1,0
500946,Warehouse2,20,1,0
463981,Warehouse2,20,1,0
420551,Warehouse2,20,1,0
101560,Warehouse2,20,1,0
512086,Warehouse2,20,1,0
512067,Warehouse2,20,1,0
420554,Warehouse2,20,1,0
420555,Warehouse2,20,1,0
574987,Warehouse2,20,1,0
573887,Warehouse2,20,1,0
573888,Warehouse2,20,1,0
573889,Warehouse2,20,1,0
573890,Warehouse2,20,1,0
573874,Warehouse2,20,1,0
573878,Warehouse2,20,1,0
573880,Warehouse2,20,1,0
574598,Warehouse2,20,1,0
574601,Warehouse2,20,1,0
574602,Warehouse2,20,1,0
574599,Warehouse2,20,1,0
574603,Warehouse2,20,1,0
575191,Warehouse2,20,1,0
575058,Warehouse2,20,1,0
575059,Warehouse2,20,1,0
575060,Warehouse2,20,1,0
575061,Warehouse2,20,1,0
575065,Warehouse2,20,1,0
410075,Warehouse2,20,1,0
410083,Warehouse2,20,1,0
410104,Warehouse2,20,1,0
410102,Warehouse2,20,1,0
632992,Warehouse2,20,1,0
574971,Warehouse2,20,1,0
574972,Warehouse2,20,1,0
574973,Warehouse2,20,1,0
575257,Warehouse2,20,1,0
575260,Warehouse2,20,1,0
408104,Warehouse2,20,1,0
420506,Warehouse2,20,1,0
420514,Warehouse2,20,1,0
420527,Warehouse2,20,1,0
420549,Warehouse2,20,1,0
420566,Warehouse2,20,0,0
420567,Warehouse2,20,1,0
420573,Warehouse2,20,1,0
420574,Warehouse2,20,1,0
420575,Warehouse2,20,1,0
420696,Warehouse2,20,1,0
420706,Warehouse2,20,1,0
420712,Warehouse2,20,1,0
421263,Warehouse2,20,1,0
421265,Warehouse2,20,1,0
421322,Warehouse2,20,1,0
421323,Warehouse2,20,1,0
421324,Warehouse2,20,1,0
421327,Warehouse2,20,1,0
421347,Warehouse2,20,1,0
421378,Warehouse2,20,1,0
421425,Warehouse2,20,1,0
421418,Warehouse2,20,1,0
421436,Warehouse2,20,1,0
421475,Warehouse2,20,1,0
421476,Warehouse2,20,1,0
421477,Warehouse2,20,1,0
421478,Warehouse2,20,1,0
421479,Warehouse2,20,1,0
421481,Warehouse2,20,1,0
421519,Warehouse2,100,1,0
421519_1,Warehouse2,100,1,0
421519_2,Warehouse2,100,1,0
421519_3,Warehouse2,100,1,0
421530,Warehouse2,20,1,0
421531,Warehouse2,20,1,0
422573,Warehouse2,20,1,0
422721,Warehouse2,20,1,0
422722,Warehouse2,20,1,0
422745,Warehouse2,20,1,0
423105,Warehouse2,20,1,0
423172,Warehouse2,20,1,0
423173,Warehouse2,20,1,0
423174,Warehouse2,20,1,0
423175,Warehouse2,20,1,0
423178,Warehouse2,20,1,0
423452,Warehouse2,20,1,0
423456,Warehouse2,20,1,0
423909,Warehouse2,20,1,0
424265,Warehouse2,20,1,0
424270,Warehouse2,20,1,0
424273,Warehouse2,20,1,0
424390,Warehouse2,20,1,0
424397,Warehouse2,20,1,0
424442,Warehouse2,20,1,0
424472,Warehouse2,20,1,0
424475,Warehouse2,20,1,0
424493,Warehouse2,20,1,0
424506,Warehouse2,20,1,0
424510,Warehouse2,20,1,0
424513,Warehouse2,20,1,0
424527,Warehouse2,20,1,0
424528,Warehouse2,20,1,0
424529,Warehouse2,20,1,0
424530,Warehouse2,20,1,0
424531,Warehouse2,20,1,0
424542,Warehouse2,20,1,0
424546,Warehouse2,20,1,0
424606,Warehouse2,20,1,0
425082,Warehouse2,20,1,0
425083,Warehouse2,20,1,0
425084,Warehouse2,20,1,0
425086,Warehouse2,20,1,0
425096,Warehouse2,20,1,0
425087,Warehouse2,20,1,0
425088,Warehouse2,20,1,0
425140,Warehouse2,20,1,0
425149,Warehouse2,20,1,0
425159,Warehouse2,20,1,0
425751,Warehouse2,20,1,0
426531,Warehouse2,20,1,0
427915,Warehouse2,20,1,0
520561,Warehouse2,20,1,0
413850,Warehouse2,20,1,0
411653,Warehouse2,20,1,0
414097,Warehouse2,20,1,0
414098,Warehouse2,20,1,0
419780,Warehouse2,20,1,0
419803,Warehouse2,20,1,0
419869,Warehouse2,20,1,0
419876,Warehouse2,20,1,0
419880,Warehouse2,20,1,0
419871,Warehouse2,20,1,0
419872,Warehouse2,20,1,0
419873,Warehouse2,20,1,0
419898,Warehouse2,20,1,0
419904,Warehouse2,20,1,0
419905,Warehouse2,20,1,0
419900,Warehouse2,20,1,0
419901,Warehouse2,20,1,0
621613,Warehouse2,20,1,0
621614,Warehouse2,20,1,0
621618,Warehouse2,20,1,0
426620,Warehouse2,20,1,0
000101,Warehouse2,10,0,1
000201,Warehouse2,10,0,1
421339,Warehouse2,20,1,0
421340,Warehouse2,20,1,0
421341,Warehouse2,20,1,0
421342,Warehouse2,20,1,0
421343,Warehouse2,20,1,0
421344,Warehouse2,20,1,0
421345,Warehouse2,20,1,0
421346,Warehouse2,20,1,0
000101,Warehouse2,10,1,1
000201,Warehouse2,10,1,1
fish-1-1,Warehouse2,1525.694,0,0
potato-1-1,Warehouse2,254.428,0,0
cable-hdmi-1-1,Warehouse2,69,0,0
cable-hdmi-1-2,Warehouse2,541.21,0,0
cable-vga-1-1,Warehouse2,69,0,0
cable-vga-1-2,Warehouse2,541.21,0,0
